鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),現況格局-房,現況格局-廳,現況格局-衛,現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
香山區,地+建,海山里中華路五段８８６巷1～30號,88.431,住88.43,,,10412,土地3建物1,A一層=44.71，二層=44.84，三層=44.84，四層=44.84,4層,透天厝,見其他登記事項,鋼筋混凝土造,10409,210.75,3房,2廳,4衛,有隔間,有管理組織,9280000,145564,,0,0,無
香山區,地+建,海山里中華路五段８８６巷1～30號,91.141,住91.14,,,10412,土地3建物1,A一層=44.71，二層=44.84，三層=44.84，四層=44.84,4層,透天厝,見其他登記事項,鋼筋混凝土造,10409,210.75,3房,2廳,4衛,有隔間,有管理組織,9860000,154662,,0,0,無
香山區,地+建,海山里中華路五段８８６巷1～30號,90.351,住90.35,,,10412,土地3建物1,A一層=44.89，二層=44.97，三層=44.97，四層=44.97,4層,透天厝,見其他登記事項,鋼筋混凝土造,10409,210.18,3房,2廳,4衛,有隔間,有管理組織,9260000,145645,,0,0,無
東區,土地,中央段1411～1440地號,841.6,它841.6,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,40000000,157119,,0,0,無
香山區,地+建,海山里中華路五段８９０巷1～30號,103.937,農91.456,,,10412,土地4建物1,A一層=62.16，二層=60.39，三層=60.39，四層=56.16,4層,透天厝,見其他登記事項,鋼筋混凝土造,10409,253.61,3房,2廳,4衛,有隔間,有管理組織,11380000,148337,,0,0,無
香山區,地+建,海山里中華路五段８９０巷1～30號,117.207,農104.726,,,10412,土地4建物1,A一層=61.52，二層=51.82，三層=51.82，四層=50.19,4層,透天厝,見其他登記事項,鋼筋混凝土造,10409,228.58,3房,2廳,4衛,有隔間,有管理組織,9580000,138549,,0,0,無
香山區,地+建,海山里中華路五段８９０巷31～60號,84.527,農72.046,,,10412,土地4建物1,A一層=48.02，二層=48.13，三層=48.13，四層=48.13,4層,透天厝,見其他登記事項,鋼筋混凝土造,10409,223.91,3房,2廳,4衛,有隔間,有管理組織,9380000,138485,,0,0,無
北區,地+建+車,榮濱路61～90號,15.737,商15.737,,,10411,土地1建物1車位1,A九層=69.19,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,143.496,3房,2廳,2衛,有隔間,有管理組織,5800000,138016,坡道平面,26.13,0,私契立約日103.4.4
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
香山區,地+建,海山里中華路五段８９０巷31～60號,95.327,農82.846,,,10412,土地4建物1,A一層=48.58，二層=48.70，三層=48.70，四層=48.70,4層,透天厝,見其他登記事項,鋼筋混凝土造,10409,226.58,3房,2廳,4衛,有隔間,有管理組織,9600000,140063,,0,0,無
東區,土地,前溪段391～420地號,305.585,,特定農業區,農牧305.585,10412,土地6,,,土地,,,,0,,,,有隔間,無管理組織,6820000,73778,,0,0,無
東區,地+建+車,長春街６２巷1～30號,25.465,它25.465,,,10412,土地1建物1車位2,A十一層=95.47,13層,住宅大樓,見其他登記事項,鋼筋混凝土造,9510,185.341,3房,2廳,2衛,有隔間,有管理組織,12500000,222953,坡道平面|坡道機械,0,0,另有公設權狀。
東區,地+建+車,關新路211～240號,34.192,住34.192,,,10410,土地1建物1車位2,A五層=140.59,21層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,9907,289.515,3房,2廳,2衛,有隔間,有管理組織,20500000,234076,坡道平面,0,0,無
北區,地+建,武陵路175巷1～30號,17.742,它17.742,,,10412,土地1建物1,A四層=75.44,21層,住宅大樓,住家用，共同使用部份，見其他登記事項,鋼筋混凝土造,8706,115.856,3房,2廳,2衛,有隔間,有管理組織,6000000,171202,,0,0,無
北區,地+建+車,仁德街61～90號,28.474,住28.474,,,10411,土地1建物1車位2,A十五層=132.69,15層,住宅大樓,共同使用部份，見其他登記事項,鋼筋混凝土造,10304,271.866,4房,2廳,2衛,有隔間,有管理組織,17100000,223582,坡道平面,53.04,2300000,無
香山區,地+建,中華路六段３３３巷1～30號,84.282,,山坡地保育區,丙建84.282,10412,土地2建物1,A一層=35.04，二層=34.43，三層=34.43,3層,透天厝,見其他登記事項,鋼筋混凝土造,10408,136.14,4房,1廳,3衛,有隔間,有管理組織,8680000,210770,,0,0,前院停車
北區,地+建,延平路三段241～270號,162.488,住162.488,,,10411,土地3建物1,A一層=107.12，二層=107.12，三層=43.78,3層,透天厝,住家用,加強磚造,7005,258.02,3房,3廳,3衛,有隔間,無管理組織,11500000,147339,,0,0,無
東區,土地,光華段1351～1380地號,52.6,住52.6,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,4000000,251391,,0,0,土地所有權人買方吳碩儒，吳耀隆，吳國鏞，吳炎坤等四人各持分1/20
北區,地+建,民富街121～150號,22,商22,,,10412,土地1建物1,A三層=69.89,4層,公寓,住家用,鋼筋混凝土造,,69.89,2房,2廳,1衛,有隔間,無管理組織,2290000,108317,,0,0,無
北區,地+建+車,榮濱路61～90號,15.995,商15.995,,,10411,土地1建物1車位1,A十層=69.19,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,148.434,3房,2廳,2衛,有隔間,有管理組織,5960000,138868,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,地+建+車,關新路１９巷91～120號,16.785,它16.343住0.079,,,10410,土地3建物1車位1,A十三層=79.07,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9710,151.769,3房,2廳,2衛,有隔間,有管理組織,11880000,258767,坡道平面,0,0,另有公設權狀
北區,地+建+車,東大路二段１９０巷1～30號,54.303,住54.303,,,10412,土地1建物1車位1,A二層=80.74,7層,華廈,住家用,鋼筋混凝土造,8610,90.33,3房,2廳,2衛,有隔間,有管理組織,6080000,222508,一樓,0,0,無
北區,地+建+車,榮濱路61～90號,15.995,商15.995,,,10411,土地1建物1車位1,A十一層=69.19,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,148.434,3房,2廳,2衛,有隔間,有管理組織,6000000,141388,坡道平面,30.36,0,私契立約日103.5.8
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
權利人2人,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,東大路二段１７３巷２５弄1～30號,34.713,住34.483它0.046,,,10412,土地3建物1車位1,A三層=55.30，四層=37.86,5層,公寓,住家用，共同使用部份,鋼筋混凝土造,7708,141.627,4房,2廳,2衛,有隔間,無管理組織,5100000,119042,坡道平面,0,0,無
北區,地+建+車,榮濱路61～90號,15.995,商15.995,,,10411,土地1建物1車位1,A十二層=69.19,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,148.434,3房,2廳,2衛,有隔間,有管理組織,6100000,144188,坡道平面,30.36,0,私契立約日102.11.5
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,15.995,商15.995,,,10411,土地1建物1車位1,A十三層=69.19,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,148.434,3房,2廳,2衛,有隔間,有管理組織,6000000,142788,坡道平面,30.36,0,私契立約日103.5.22
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
東區,地+建,高翠路２７７巷２弄1～30號,166.07,住166.07,,,10411,土地2建物1,A四層=20.35，一層=79.87，二層=90.88，三層=88.09,4層,透天厝,見其他登記事項,鋼筋混凝土造,9512,331.89,6房,2廳,4衛,有隔間,無管理組織,29000000,288854,,0,0,無
北區,地+建+車,經國路二段248巷1～30號,10.334,住0.638,,,10412,土地3建物1車位2,A六層=30.11,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,75.968,2房,,2衛,有隔間,有管理組織,5360000,237575,坡道機械,15.3,0,無
北區,地+建+車,經國路二段248巷1～30號,10.813,住0.668,,,10412,土地3建物1車位1,A六層=28.65,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,74.315,2房,,2衛,有隔間,有管理組織,5200000,234564,坡道機械,10.19,0,無
北區,地+建,經國路二段248巷1～30號,10.308,住0.637,,,10412,土地3建物1,A三層=35.05,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,60.665,2房,,2衛,有隔間,有管理組織,4230000,230501,,0,0,無
北區,地+建,經國路二段248巷1～30號,10.8,住0.668,,,10412,土地3建物1,A五層=35.21,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,64.145,2房,,2衛,有隔間,有管理組織,4430000,228304,,0,0,無
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A四層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,152.482,3房,2廳,2衛,有隔間,有管理組織,5560000,126144,坡道平面,30.36,0,私契立約日102.9.22
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,經國路二段248巷1～30號,12.846,住0.794,,,10412,土地3建物1車位1,A六層=48.00,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,90.895,2房,1廳,1衛,有隔間,有管理組織,5950000,216464,坡道平面,15.3,0,無
北區,地+建+車,榮濱路61～90號,16.253,商16.253,,,10411,土地1建物1車位1,A五層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,148.245,3房,2廳,2衛,有隔間,有管理組織,5780000,132107,坡道平面,26.13,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.253,商16.253,,,10411,土地1建物1車位1,A六層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,148.245,3房,2廳,2衛,有隔間,有管理組織,5900000,135355,坡道平面,26.13,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建,經國路二段248巷1～30號,10.308,住0.637,,,10412,土地3建物1,A五層=35.05,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,60.665,2房,,2衛,有隔間,有管理組織,4200000,228867,,0,0,無
北區,地+建,經國路二段248巷1～30號,10.515,住0.65,,,10412,土地3建物1,A六層=41.55,7層,套房,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,60.523,1房,1廳,1衛,有隔間,有管理組織,4400000,240329,,0,0,無
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A七層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,152.482,3房,2廳,2衛,有隔間,有管理組織,6130000,140220,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建,經國路二段248巷1～30號,10.8,住0.668,,,10412,土地3建物1,A四層=35.21,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,64.145,2房,,2衛,有隔間,有管理組織,4320000,222635,,0,0,無
北區,地+建,經國路二段248巷1～30號,10.308,住0.637,,,10412,土地3建物1,A二層=35.05,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,60.665,2房,,2衛,有隔間,有管理組織,4200000,228867,,0,0,無
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A八層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,152.482,3房,2廳,2衛,有隔間,有管理組織,6250000,142115,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建,經國路二段248巷1～30號,10.8,住0.668,,,10412,土地3建物1,A三層=35.21,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,64.145,2房,,2衛,有隔間,有管理組織,4360000,224696,,0,0,無
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A九層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,152.482,3房,2廳,2衛,有隔間,有管理組織,6240000,143198,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.253,商16.253,,,10411,土地1建物1車位1,A十層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,148.245,3房,2廳,2衛,有隔間,有管理組織,6450000,148891,坡道平面,26.13,0,私契立約日103.3.20
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,經國路二段248巷1～30號,10.321,住0.638,,,10412,土地3建物1車位1,A四層=35.05,7層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,70.862,2房,,2衛,有隔間,有管理組織,4800000,226116,坡道機械,10.19,0,無
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A十一層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,152.482,3房,2廳,2衛,有隔間,有管理組織,6280000,144280,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A十三層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,152.482,3房,2廳,2衛,有隔間,有管理組織,6300000,144822,坡道平面,30.36,0,私契立約日102.11.1
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A十五層=71.82,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,152.482,3房,2廳,2衛,有隔間,有管理組織,6330000,145634,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A四層=71.97,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.627,3房,2廳,2衛,有隔間,有管理組織,5780000,126454,坡道平面,30.36,0,私契立約日102.10.29
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A五層=71.97,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.627,3房,2廳,2衛,有隔間,有管理組織,6050000,133523,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A六層=71.97,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.627,3房,2廳,2衛,有隔間,有管理組織,6350000,142686,坡道平面,30.36,0,私契立約日102.11.27
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
權利人2人,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A七層=71.97,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.627,3房,2廳,2衛,有隔間,有管理組織,6250000,140068,坡道平面,30.36,0,私契立約日103.1.2
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A八層=71.97,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.627,3房,2廳,2衛,有隔間,有管理組織,6250000,140068,坡道平面,30.36,0,私契立約日102.11.18
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A九層=71.97,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.627,3房,2廳,2衛,有隔間,有管理組織,6550000,147922,坡道平面,30.36,0,私契立約日102.12.5
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A十層=71.97,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.627,3房,2廳,2衛,有隔間,有管理組織,6280000,140853,坡道平面,30.36,0,私契立約日102.10.12
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A十一層=75.32,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.377,3房,2廳,2衛,有隔間,有管理組織,6350000,142969,坡道平面,30.36,0,私契立約日102.10.25
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A十二層=75.32,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.377,3房,2廳,2衛,有隔間,有管理組織,6330000,141133,坡道平面,30.36,0,私契立約日102.10.12
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,16.511,商16.511,,,10411,土地1建物1車位1,A十五層=75.32,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,156.377,3房,2廳,2衛,有隔間,有管理組織,6460000,143231,坡道平面,30.36,0,私契立約日103.5.7
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,12.126,商12.126,,,10411,土地1建物1車位1,A十一層=49.49,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,117.851,2房,2廳,1衛,有隔間,有管理組織,4740000,143203,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,榮濱路61～90號,12.126,商12.126,,,10411,土地1建物1車位1,A十四層=49.49,15層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,117.851,2房,2廳,1衛,有隔間,有管理組織,4850000,145470,坡道平面,30.36,0,私契立約日102.9.24
公設面積含車位,,,,,,,,,,,,,,,,,,,,,,,,,,
香山區,地+建+車,富群街1～30號,40.629,,山坡地保育區,丙建40.628,10411,土地7建物6車位1,,12層,住宅大樓,見其他登記事項，見使用執照，共同使用部份，住家用,鋼筋混凝土造,9410,262.582,4房,2廳,3衛,有隔間,有管理組織,8380000,105500,坡道平面,89.89,0,方麒翔、彭右榕各買受1/2
東區,地+建,自由路９５巷１８弄1～30號,5.667,商5.667,,,10312,土地1建物1,A二層=30.94,7層,套房,共同使用部份，住家用,鋼筋混凝土造,,39.988,1房,1廳,1衛,有隔間,有管理組織,1260000,104162,,0,0,無
東區,地+建,高翠路１６２巷１６弄1～30號,359.018,它359.018,,,10411,土地2建物1,A一層=104.58，二層=76.43，三層=87.60，四層=87.60,4層,透天厝,見其他登記事項,鋼筋混凝土造,8810,390.11,5房,2廳,3衛,有隔間,有管理組織,23500000,199139,,0,0,無
東區,地+建,建中路31～60號,25.768,住25.768,,,10411,土地1建物1,A十層=77.75,12層,住宅大樓,見其他登記事項,鋼筋混凝土造,8909,129.778,3房,2廳,2衛,有隔間,有管理組織,8350000,212696,,0,0,無
東區,地+建+車,關新東路241～270號,48.041,住48.041,,,10409,土地2建物1車位2,A三層=185.05,26層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10207,372.371,4房,2廳,3衛,有隔間,有管理組織,32100000,305347,坡道平面,55.16,2800000,無
東區,土地,高翠段721～750地號,5.919,它5.919,,,10305,土地2,,,土地,,,,0,,,,有隔間,無管理組織,188003,105001,,0,0,無
東區,土地,高翠段721～750地號,11.838,它11.838,,,10305,土地2,,,土地,,,,0,,,,有隔間,無管理組織,376005,105001,,0,0,無
東區,地+建,北大路1～30號,5.566,住1.272它0.05,,,10412,土地4建物1,A六層=71.32,28層,住宅大樓,見其他登記事項,鋼骨鋼筋混凝土造,9607,83.25,3房,2廳,2衛,有隔間,有管理組織,7500000,297818,,0,0,無
北區,地+建,凌雲街61～90號,47.592,住47.592,,,10412,土地1建物1,A一層=101.46,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,183.488,3房,1廳,1衛,有隔間,無管理組織,4975952,89648,,0,0,向政府機關承購之案件。
北區,地+建,林森路301～330號,14.21,商11.324,,,10412,土地5建物1,A四層=114.88,12層,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8005,150.074,3房,2廳,2衛,有隔間,有管理組織,5950000,131065,,0,0,無
香山區,土地,長興段481～510地號,599.888,它589.395,,,10411,土地4,,,土地,,,,0,,,,有隔間,無管理組織,19515000,107541,,0,0,土地分次登記案件。前案土地登記收件字號：292350
北區,地+建,中正路301～330號,29.5,住29.5,,,10412,土地2建物1,A二層=135.00,7層,華廈,商業用，共同使用部份,鋼筋混凝土造,8006,179.037,4房,2廳,2衛,有隔間,無管理組織,7500000,138482,,0,0,無
東區,土地,東光段31～60地號,281.472,商281.472,,,10412,土地1,,,土地,,,,0,,,,有隔間,無管理組織,13624000,160009,,0,0,無
東區,地+建,復興路31～60號,172,商172,,,10412,土地3建物1,A一層=81.12，二層=151.01，三層=151.01，騎樓=69.89,3層,店面,商業用,鋼筋混凝土加強磚造,,453.03,,,,無隔間,無管理組織,133000000,970508,,0,0,無
北區,車位,北新街121～150號,0.654,住0.654,,,10412,車位1,,10層,車位,見其他登記事項,鋼筋混凝土造,9803,5.039,,,,有隔間,有管理組織,460000,301808,坡道機械,0,0,無
東區,地+建,明湖路1050巷31～60號,24.162,,山坡地保育區,丙建24.162,10412,土地3建物1,A一層=57.59,5層,公寓,住家用，共同使用部份，見其他登記事項,鋼筋混凝土造,8206,93.795,3房,2廳,2衛,有隔間,有管理組織,2800000,98685,,0,0,無
北區,地+建+車,凌雲街91～120號,47.592,住47.592,,,10412,土地1建物1車位1,A九層=101.34,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,183.568,3房,2廳,2衛,有隔間,有管理組織,4977612,89639,坡道平面,0,0,向政府機關承購之案件。
東區,地+建+車,光復路一段４５９巷31～60號,37.894,它37.894,,,10411,土地1建物1車位1,A一層=81.82,9層,華廈,住家用，共同使用部份，見其他登記事項,鋼筋混凝土造,8712,288.361,8房,2廳,7衛,有隔間,有管理組織,13500000,154764,坡道平面,0,0,無
香山區,地+建+車,牛埔東路1～30號,19.727,住19.727,,,10412,土地1建物1車位2,A十五層=73.76,15層,住宅大樓,見其他登記事項,鋼筋混凝土造,9701,184.18,3房,2廳,2衛,有隔間,有管理組織,8030000,144128,坡道平面,65.42,0,無
北區,地+建+車,湳中街６５巷1～30號,19.135,住19.135,,,10412,土地1建物1車位1,A二層=75.99,8層,華廈,住家用，共同使用部份,鋼筋混凝土造,,120.835,3房,2廳,2衛,有隔間,有管理組織,5140000,140619,坡道機械,0,0,無
東區,地+建+車,埔頂三路91～120號,17.704,住17.704,,,10412,土地1建物1車位1,A二層=76.51,14層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10005,145.105,3房,2廳,2衛,有隔間,有管理組織,9850000,224403,坡道平面,0,0,另有一公設權狀
北區,地+建+車,凌雲街61～90號,47.592,住47.592,,,10412,土地1建物1車位1,A一層=101.46,14層,住宅大樓,見其他登記事項,鋼筋混凝土造,9803,183.488,3房,2廳,1衛,有隔間,有管理組織,4975952,89648,坡道平面,0,0,車位面積無法拆分
東區,地+建+車,興學街1～30號,19.829,住19.829,,,10412,土地1建物1車位1,A五層=64.20,7層,華廈,共同使用部份，住家用,鋼筋混凝土造,7911,107.573,3房,2廳,1衛,有隔間,有管理組織,5150000,158263,升降機械,0,0,無
東區,地+建,南大路567巷1弄1～30號,67.39,住67.39,,,10412,土地1建物1,A一層=47.91，二層=49.25,2層,透天厝,住家用,加強磚造,6209,97.16,5房,2廳,2衛,有隔間,無管理組織,6000000,204145,,0,0,本買賣含增建部分
北區,地+建+車,北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A十層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.405,3房,2廳,2衛,有隔間,有管理組織,14320000,303335,坡道平面,42.96,0,無
東區,地+建+車,關新里關新二街91～120號,29.782,住29.782,,,10103,土地2建物1車位1,A五層=84.98,22層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,175.6,3房,2廳,2衛,有隔間,有管理組織,12360000,250124,坡道平面,25.46,1000000,無
東區,地+建+車,關新里關新二街91～120號,29.782,住29.782,,,10106,土地2建物1車位1,A十九層=84.98,22層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10405,175.6,3房,2廳,2衛,有隔間,有管理組織,14780000,299004,坡道平面,25.46,1200000,104.8.21日由未婚夫依原合約價格讓渡予未婚妻
北區,地+建+車,延平路一段361～390號,25.418,,鄉村區,乙建25.418,10411,土地1建物1車位1,A十層=65.68,11層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,150.052,3房,1廳,2衛,有隔間,有管理組織,8530000,203543,坡道平面,29.38,0,土地及建物分次登記案件，前案土地登記收件字號第288880號。
房地總價已含收件字第288880號。,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,延平路一段361～390號,25.987,,鄉村區,乙建25.987,10411,土地1建物1車位1,A九層=67.18,11層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,152.696,3房,1廳,2衛,有隔間,有管理組織,8700000,201055,坡道平面,29.38,0,土地及建物分次登記案件，前案土地登記收件字號第288880號。
房地總價已含收件字第288880號。,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,延平路一段361～390號,25.255,,鄉村區,乙建25.255,10411,土地1建物1車位1,A六層=65.26,11層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,149.302,3房,1廳,2衛,有隔間,有管理組織,7920000,188001,坡道平面,29.38,0,土地及建物分次登記案件，前案土地登記收件字號第288880號。
房地總價已含收件字第288880號。,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,延平路一段361～390號,25.418,,鄉村區,乙建25.418,10411,土地1建物1車位1,A六層=65.68,11層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,150.052,3房,1廳,2衛,有隔間,有管理組織,8200000,194502,坡道平面,29.38,0,土地及建物分次登記案件，前案土地登記收件字號第288880號。
房地總價已含收件字第288880號。,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,延平路一段361～390號,25.418,,鄉村區,乙建25.418,10411,土地1建物1車位1,A二層=65.68,11層,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,150.028,3房,1廳,2衛,有隔間,有管理組織,7860000,182486,坡道平面,29.38,0,土地及建物分次登記案件，前案土地登記收件字號第288880號。
房地總價已含收件字第288880號。,,,,,,,,,,,,,,,,,,,,,,,,,,
北區,地+建+車,延平路一段361～390號,25.987,,鄉村區,乙建25.987,10412,土地1建物1車位1,A二層=67.18,11層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10406,152.696,3房,1廳,2衛,有隔間,有管理組織,8150000,186311,坡道平面,29.38,0,土地及建物分次登記案件，前案土地登記收件字號第288890號。
房地總價已含收件字第288890號。,,,,,,,,,,,,,,,,,,,,,,,,,,
